"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "JavaScript", "JSON", "YAML", "TypeScript JSX", "XML", "CSS", "comment", "blank", "total"
"c:\Workspace\admin-marketplace\AGENTS.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Workspace\admin-marketplace\CLAUDE.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Workspace\admin-marketplace\README.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 37
"c:\Workspace\admin-marketplace\eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Workspace\admin-marketplace\next.config.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Workspace\admin-marketplace\package.json", "JSON", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 1, 40
"c:\Workspace\admin-marketplace\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 3792, 0, 0, 0, 0, 994, 4786
"c:\Workspace\admin-marketplace\pnpm-workspace.yaml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Workspace\admin-marketplace\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Workspace\admin-marketplace\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Workspace\admin-marketplace\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Workspace\admin-marketplace\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Workspace\admin-marketplace\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Workspace\admin-marketplace\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Workspace\admin-marketplace\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 27
"c:\Workspace\admin-marketplace\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"c:\Workspace\admin-marketplace\src\app\lib\api.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 6, 35
"c:\Workspace\admin-marketplace\src\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 181, 0, 0, 3, 17, 201
"c:\Workspace\admin-marketplace\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 294, 0, 0, 0, 29, 323
"c:\Workspace\admin-marketplace\src\app\posts\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 551, 0, 0, 17, 33, 601
"c:\Workspace\admin-marketplace\src\app\store\useAuthStore.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 4, 46
"c:\Workspace\admin-marketplace\src\app\users\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 468, 0, 0, 0, 61, 529
"c:\Workspace\admin-marketplace\src\components\CategoryHoverMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 69, 0, 0, 2, 9, 80
"c:\Workspace\admin-marketplace\src\components\Providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Workspace\admin-marketplace\src\components\layout\AdminLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 13, 138
"c:\Workspace\admin-marketplace\src\proxy.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Workspace\admin-marketplace\src\theme.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Workspace\admin-marketplace\tsconfig.json", "JSON with Comments", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 28, 100, 34, 20, 39, 3795, 1731, 5, 22, 26, 1213, 7013
